NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
5049,"CHICKEN,BROILERS OR FRYERS,BACK,MEAT&SKN,CKD,FRIED,BATTER",44.51,331,21.97,21.91,10.25,0.7,1.84,26.0,1.49,19.0,137.0,180.0,317.0,1.96,0.081,5.83,8.91,5.2,88.0,Poultry Products
5030,"CHICKEN,BROILERS OR FRYERS,LT MEAT,MEAT&SKN,CKD,FRIED,BATTER",50.23,277,23.55,15.44,9.5,0.7,1.84,20.0,1.26,22.0,168.0,185.0,287.0,1.06,0.061,4.12,6.37,3.6,84.0,Poultry Products
5007,"CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,BATTER",49.39,289,22.54,17.35,9.42,0.3,0.0,21.0,1.37,21.0,155.0,185.0,292.0,1.67,0.072,4.61,7.09,4.1,87.0,Poultry Products
6969,"POTATO SOUP,INST,DRY MIX",5.8,343,9.2,3.1,76.14,7.6,10.0,172.0,2.38,62.0,279.0,1248.0,2400.0,0.91,0.25,0.613,1.185,1.025,12.0,"Soups, Sauces, and Gravies"
6123,"GRAVY,ONION,DRY,MIX",4.36,322,9.0,3.0,67.64,6.0,1.84,280.0,1.0,34.0,203.0,262.0,4186.0,0.88,0.17,1.86,0.9,0.14,2.0,"Soups, Sauces, and Gravies"
6126,"GRAVY,TURKEY,DRY",4.67,367,10.42,7.19,65.12,0.7,1.84,146.0,3.29,44.0,254.0,428.0,4392.0,1.26,0.133,1.975,2.575,2.196,14.0,"Soups, Sauces, and Gravies"
6094,"SOUP,ONION,DRY,MIX",3.79,293,7.48,0.34,65.07,6.6,4.65,143.0,1.25,60.0,211.0,721.0,8031.0,1.12,0.353,0.089,0.067,0.164,0.0,"Soups, Sauces, and Gravies"
6981,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY",2.3,438,16.7,13.89,64.88,0.2,14.47,187.0,1.03,56.0,166.0,309.0,1067.0,0.09,0.0,3.433,5.365,4.485,13.0,"Soups, Sauces, and Gravies"
6122,"GRAVY,MUSHROOM,DRY,PDR",3.34,328,10.0,4.0,64.66,4.8,3.26,230.0,1.0,34.0,203.0,262.0,6580.0,1.54,0.535,2.36,1.31,0.14,3.0,"Soups, Sauces, and Gravies"
6124,"GRAVY,PORK,DRY,PDR",4.43,367,8.78,8.63,63.57,2.4,24.73,139.0,3.94,34.0,188.0,235.0,5356.0,1.06,0.154,4.29,3.881,0.454,10.0,"Soups, Sauces, and Gravies"
