NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
6958,"GRAVY,INST BF,DRY",4.65,369,9.8,9.48,61.1,4.3,23.9,141.0,6.27,41.0,239.0,450.0,5203.0,0.76,0.146,4.88,3.659,0.938,11.0,"Soups, Sauces, and Gravies"
6618,"SAUCE,PNUT,MADE FROM COCNT,H2O,SUGAR,PNUTS",62.08,179,2.02,6.34,28.46,1.1,18.8,9.0,0.38,19.0,35.0,99.0,319.0,0.3,0.063,3.53,1.355,1.135,0.0,"Soups, Sauces, and Gravies"
6101,"SOUP,CRM OF VEG,DRY,PDR",2.9,446,8.0,24.1,52.1,3.0,17.51,134.0,2.6,48.0,228.0,408.0,4957.0,1.6,0.4,6.03,10.73,6.29,2.0,"Soups, Sauces, and Gravies"
6080,"SOUP,CHICK BROTH OR BOUILLON,DRY",2.27,267,16.66,13.88,18.01,0.0,17.36,187.0,1.03,56.0,166.0,309.0,23875.0,0.09,0.0,3.43,5.36,4.48,13.0,"Soups, Sauces, and Gravies"
6075,"SOUP,BF BROTH OR BOUILLON,PDR,DRY",3.27,213,15.97,8.89,17.4,0.0,16.71,60.0,1.0,51.0,320.0,446.0,26000.0,0.0,0.0,4.32,3.616,0.332,10.0,"Soups, Sauces, and Gravies"
6632,"SAUCE,HOT CHILE,SRIRACHA,CHA! BY TEXAS PETE",66.25,108,2.02,0.98,22.73,2.1,15.65,15.0,1.46,16.0,46.0,302.0,2903.0,0.23,0.058,1.592,1.9385,0.696,4.0,"Soups, Sauces, and Gravies"
7977,"HAM,SMOKED,EX LN,LO NA",64.59,141,18.52,2.71,10.7,0.0,10.68,5.0,0.76,20.0,286.0,330.0,1062.0,1.78,0.245,1.786,0.609,0.187,50.0,Sausages and Luncheon Meats
7058,"PICKLE&PIMIENTO LOAF,PORK",60.29,225,11.23,15.95,8.46,1.5,8.46,109.0,1.33,34.0,153.0,371.0,1040.0,1.68,0.105,5.287,7.06,2.804,58.0,Sausages and Luncheon Meats
7913,SALAMI  PORK  BF  LESS NA,33.74,396,15.01,30.5,15.38,0.2,6.21,94.0,1.55,31.0,272.0,1372.0,623.0,3.08,0.088,10.58,13.32,3.067,90.0,Sausages and Luncheon Meats
7056,PEPPERED LOAF  PORK  BF,67.4,149,17.3,6.37,4.53,0.0,4.61,54.0,1.07,20.0,170.0,394.0,732.0,3.23,0.12,2.28,3.0,0.5,46.0,Sausages and Luncheon Meats
7008,"BOLOGNA,BF & PORK",51.87,308,15.2,24.59,5.49,0.0,4.42,85.0,1.21,17.0,163.0,315.0,960.0,2.3,0.052,9.301,10.526,1.12,60.0,Sausages and Luncheon Meats
7209,OSCAR MAYER  CHICKEN BREAST (HONEY GLAZED),70.4,109,19.85,1.5,4.3,0.0,4.3,10.0,1.13,36.0,289.0,329.0,1438.0,0.7,0.17,0.394,0.564,0.218,53.0,Sausages and Luncheon Meats
7973,"TURKEY BACON,MICROWAVED",34.46,368,29.5,25.87,4.24,0.0,4.24,163.0,2.63,30.0,416.0,666.0,2021.0,4.71,0.118,6.933,9.382,6.871,153.0,Sausages and Luncheon Meats
7944,TURKEY  WHITE  ROTISSERIE  DELI CUT,72.0,112,13.5,3.0,7.7,0.4,4.0,16.0,2.2,20.0,158.0,349.0,1200.0,2.1,0.039,0.118,0.591,0.37,55.0,Sausages and Luncheon Meats
7046,"TURKEY BREAST,LO SALT,PREPACKAGED OR DELI,LUNCHEON MEAT",71.1,109,21.81,0.83,3.51,0.5,3.51,8.0,0.63,21.0,162.0,211.0,772.0,1.33,0.057,0.197,0.261,0.184,44.0,Sausages and Luncheon Meats
